<ID> ,ratio[0]                ,ratio[1]                ,ratio[2]                ,ratio[3]                ,ratio[4]                ,ratio[5]                ,ratio[6]                ,ratio[7]                ,ratio[8]                ,ratio[9]                ,ratio[10]               ,ratio[11]               ,ratio[12]               ,ratio[13]               ,ratio[14]               ,ratio[15]               ,Cx,CY,CZ,CMx,CMY,CMZ
173,-0.181587325,-0.132627627,-0.118921093,-0.071337083,-0.191257293,-0.130002427,-0.008978675,-0.10193396,0.003759939,-0.009134654,-0.033133605,-0.077561257,-0.051061176,-0.013373866,-0.057185117,13.16471426,0.016774557,0.072290796,-0.024203583,-0.012255188,0.017820294,0.047346489
174,-0.03774143,-0.127547343,-0.064464098,-0.080882498,-0.164881409,-0.115428506,-0.044485022,-0.057906981,-0.044366938,-0.077049918,0.007696163,-0.012480577,-0.038026533,-0.053745664,-0.042800342,9.969509691,0.017384936,0.076292575,-0.024765267,-0.013129545,0.01864859,0.050527212
175,-0.186264837,-0.093422384,-0.140865266,0.047746668,-0.030242205,-0.170852886,-0.019004248,-0.070324791,-0.094602566,-0.047753054,-0.051258864,0.011160189,-0.043641648,-0.058465147,-0.044603162,10.02100013,0.018091126,0.078288792,-0.025690148,-0.013647843,0.019845411,0.052725385
176,-0.060609426,-0.110810078,-0.105577554,-0.033908025,-0.156980656,0.043727522,-0.088711051,0.016380613,-0.003346355,0.014546379,-0.034519603,-0.067555471,-0.059651232,-0.007173516,-0.048746676,16.63683497,0.015536844,0.070366236,-0.023508634,-0.010946678,0.017541936,0.046603515
177,0.037829144,-0.169966808,-0.090515085,-0.1129199,0.001343156,0.006668294,-0.016998469,-0.003080705,-0.008799699,-0.07972855,-0.026450405,-0.03181413,0.009861539,-0.029019355,-0.013741902,3.829684635,0.018435287,0.084613059,-0.025339838,-0.016176355,0.020224888,0.058597497
178,-0.124493786,-0.004113297,-0.169531503,-0.062069425,0.041296558,-0.062454632,-0.064764148,-0.097667158,-0.060997717,0.008527802,-0.038116905,-0.004611804,-0.047964069,-0.049162612,-0.007030438,0.871443774,0.019919747,0.087971653,-0.026524703,-0.017435655,0.021524929,0.061165722
179,-0.134959932,-0.162783571,-0.143670231,-0.108357098,-0.186914949,-0.168858111,-0.078604313,-0.055695558,-0.017490287,0.000108882,0.004071237,-0.066309056,-0.041137091,0.012431903,0.01828979,18.11949367,0.015419528,0.066112458,-0.022289628,-0.010038232,0.015515241,0.041874174
180,-0.039077178,-0.165530597,-0.133039876,-0.029130383,-0.041913218,-0.041875008,-0.10054669,-0.089197518,-0.006632345,-0.000463006,-0.04169677,-0.039365562,-0.021942132,-0.041180768,-0.017954482,12.88611993,0.016309311,0.074463928,-0.024450682,-0.01238002,0.018340713,0.049532726
181,-0.041930029,-0.010857236,-0.178729997,-0.025519375,0.02877161,-0.102580659,-0.099128264,-0.032806222,-0.022595779,-0.040444182,-0.036192311,-0.053571769,0.003819991,-0.015899708,-0.036696726,8.835541374,0.017815474,0.08078877,-0.025780622,-0.014245794,0.020108975,0.055375879
182,-0.048198768,-0.044468194,0.016041004,0.03381228,-0.006158823,-0.134571531,-0.110622092,-0.047485853,-0.07650162,-0.076388265,-0.032043835,-0.03791706,-0.033542896,-0.043366849,-0.054797133,2.548570088,0.020554176,0.088352994,-0.027024646,-0.016753655,0.022209807,0.061330311
183,-0.07320495,-0.030276783,0.030856394,-0.079657245,-0.038521873,-0.088679478,-0.026219976,-0.05137946,-0.067932049,-0.073780949,-0.029007262,-0.062996502,-0.053835031,-0.026018927,-0.01197556,14.88723693,0.015796748,0.072487975,-0.023970872,-0.011112416,0.018191358,0.048638591
184,0.043307067,-0.117010258,-0.089895517,0.016686209,-0.172670316,-0.083716614,-0.011117233,0.017334748,-0.09413281,-0.021818747,-0.069382742,0.01603044,-0.025071593,-0.027418395,-0.002102923,7.385982031,0.018659712,0.083937837,-0.026175978,-0.015484386,0.020326326,0.057313403
185,-0.172298086,-0.087919157,0.021340804,-0.179993606,-0.033845983,-0.009054211,-0.097738436,-0.119899095,-0.102258258,-0.049919658,0.017760732,-0.001229272,-0.01468224,-0.015754793,0.015063792,14.55173734,0.015767619,0.06887622,-0.023643437,-0.010516215,0.01745424,0.045740225
186,-0.128444711,0.043166825,-0.108971341,0.024128804,-0.167036127,-0.039489187,-0.087054658,0.002356619,0.002434994,-0.026319809,-0.028463134,-0.069756169,-0.05754692,-0.042618518,-0.03534401,6.071123891,0.018428319,0.082127789,-0.025031337,-0.015024965,0.019875312,0.056359314
187,0.016515737,-0.136137701,-0.110368984,-0.056304691,0.045406832,-0.126725664,-0.054319523,-0.093152642,-0.102964301,0.009187276,-0.06058411,-0.01098629,-0.019786264,-0.015062308,-0.028340884,19.69801604,0.015385591,0.06994043,-0.022905571,-0.010290364,0.016790129,0.045909525
188,-0.082699164,-0.180676224,-0.076449455,0.02550122,-0.054496682,-0.185897073,-0.081443806,0.015602734,-0.014736074,0.016612165,-0.01737945,-0.018050775,-0.030026511,-0.017809489,-0.002690844,18.47627298,0.014861065,0.069143018,-0.022902191,-0.010607891,0.016532593,0.045460719
189,0.03837571,-0.024206055,0.039775921,-0.124006426,-0.126486581,-0.058919667,-0.066323964,-0.015065537,-0.088661567,-0.050532464,-0.053083417,-0.023906939,-0.025999999,-0.004294729,-0.055158312,8.365875966,0.017809195,0.080602999,-0.025232323,-0.013991571,0.019778454,0.054961256
190,-0.13741149,-0.040872488,-0.062340385,-0.120090979,-0.160527805,0.004339294,-0.072241924,-0.056763549,0.015821497,-0.071977469,-0.036688836,0.001216153,-0.031322497,0.011695365,-0.05329266,11.65567143,0.016496599,0.072078759,-0.024323802,-0.011861626,0.018373344,0.048020211
191,0.005242553,-0.174469596,-0.125620033,-0.171320994,-0.199777538,-0.053454519,-0.068054472,-0.043514377,-0.056307878,0.012122178,-0.054318464,-0.050562943,0.00721617,-0.004621212,-0.053043289,14.93297135,0.016671091,0.07151278,-0.023812406,-0.011710017,0.017364425,0.046357811
