Id,ratio[0],ratio[1],ratio[2],ratio[3],ratio[4],ratio[5],ratio[6],ratio[7],ratio[8],ratio[9],ratio[10],ratio[11],ratio[12],ratio[13],ratio[14],ratio[15],ratio[16],ratio[17],ratio[18],ratio[19],ratio[20],ratio[21],ratio[22],ratio[23],ratio[24],ratio[25],ratio[26],ratio[27],ratio[28],ratio[29],cd,cl,cm,cy,Cx,Cy,Cz,Cmx,Cmy,Cmz,Volume
30,0.204444444,-0.015,-0.046375389,-0.007280625,0.008217105,-0.112965097,-0.066704938,0.06877153,-0.10614773,0.032894417,-0.055740736,-0.030635424,0.316090688,0.474137452,0.256604379,0.114034277,-0.00222163,0.210058631,0.070762368,0.279188795,-0.043527376,0.121841519,0.09250976,0.061513817,0.145619053,0.02450969,0.141899071,0.140091423,-0.02321253,0.096000275,0.900498035,3.566727179,-19.97378871,3.620854378,0.645900739,3.59154989,4.11E-05,0.001652797,-7.51E-05,19.8113972,12.542724
31,-0.107222222,-0.0402,0.133055937,-0.240357771,0.222172372,-0.107835938,0.073988244,0.034027512,-0.134030325,0.004301519,-0.082834549,-0.10000789,0.321144076,0.326067503,0.008254735,0.137668183,0.115007768,0.024803819,0.367594942,0.126603672,-0.035478445,0.135691508,0.257631132,0.189482409,0.036148915,0.07821755,0.103311156,-0.018504863,0.073732093,0.044185301,1.187632953,4.148095629,-24.6472402,4.220836163,0.885812788,4.16547207,-9.11E-06,0.001187939,5.11E-05,24.3044758,12.395842
32,0.357222222,0.1908,0.112406393,-0.104266311,-0.082067168,0.149190075,0.098204689,0.084650969,-0.069707403,-0.103027798,-0.071559439,-0.148694527,0.198204867,0.181564758,0.384001467,0.135362571,-0.024324573,0.185892051,0.168643861,0.120033144,0.236835757,0.063028688,0.206721027,0.186585731,-0.016452178,0.073334216,0.119535068,-0.02846219,0.140679382,0.081454769,0.890460557,3.563501807,-20.47890422,3.616936684,0.635305335,3.58528402,-6.34E-05,0.001753648,0.000687654,20.3010802,11.713546
33,0.241111111,0.1782,-0.069553698,-0.17979735,-0.100700467,-0.118697844,-0.012391873,0.070530948,-0.153560991,-0.109912058,-0.005760924,-0.118953921,0.339049278,0.388050579,0.040197058,0.0484153,0.319565367,0.139611153,0.18942491,0.351214094,0.23319651,0.175009069,0.27276512,0.19287129,0.180451623,0.019013481,0.033832808,0.087455934,0.094448586,0.043281689,1.032021319,3.782020016,-22.10254695,3.844797373,0.759828682,3.78228895,-9.99E-06,0.002398446,8.61E-05,21.7335701,13.609185
34,0.173888889,0.258,0.196025476,0.1971904,-0.239491451,0.143530687,-0.095272091,-0.037928372,-0.11864207,-0.107140986,-0.107494595,-0.117184748,0.451248693,0.2998896,-0.053757587,0.296677366,0.332584961,0.187653243,0.100907056,0.142809454,0.289611957,0.191152927,0.128703882,0.239986807,0.136445183,0.158310331,0.015491196,0.020816344,-0.018575815,0.091385858,0.946892575,3.44447778,-20.03060132,3.502139091,0.697551025,3.46876297,-8.58E-05,0.002630504,0.000646038,19.8767463,12.337584
35,0.29,0.258,0.125844412,-0.031560136,-0.083981942,-0.17231855,-0.140440896,-0.029379052,-0.032073819,-0.13224409,-0.141206381,-0.130698667,0.181836999,0.365908333,0.444139481,0.066782553,0.019857609,0.025872566,-0.013931053,0.390692666,0.168467005,0.094225457,0.085710011,-0.024296434,0.121184318,0.038021525,0.092627197,-0.020380429,-0.011892713,0.043116824,0.983288815,3.928544016,-23.14115418,3.987565041,0.700685522,3.94255702,-3.98E-05,0.001377274,0.000278099,22.8773235,11.923765
36,-0.073611111,0.2832,-0.058971456,-0.235279444,-0.21421062,0.025702219,-0.097721208,0.010198098,-0.011308054,-0.04955781,-0.123303887,-0.068646237,0.48349713,0.21840041,0.097980737,0.216201961,0.195036675,0.112457989,0.178678193,0.150656788,0.12279577,0.14984211,0.250856189,0.017124311,0.044342859,0.011582307,0.102548833,0.056421776,-0.002206132,0.070633989,1.22506819,4.236112731,-25.18818914,4.31125021,0.918207832,4.25848508,8.29E-05,0.004013067,-9.55E-05,24.9047684,12.78893
37,0.231944444,0.1404,0.007576223,-0.19732989,0.119202234,-0.034870773,-0.003473717,-0.069740908,-0.165637656,-0.188836805,-0.148875231,-0.070548567,0.098865445,0.15553962,0.042710225,0.332749947,0.22044445,0.067647395,0.228898811,0.200852962,-0.00084206,0.132796267,0.236702358,0.171975279,0.183242363,0.181914745,-0.012734172,0.195922483,-0.014739307,0.068243813,1.065734881,4.126874492,-24.54979348,4.19116354,0.768015916,4.12427707,-5.03E-05,0.001205985,0.000249617,24.1330534,12.084571
38,0.1525,0.1068,0.044042054,0.07087799,0.243505839,-0.188561666,0.106002219,0.029259869,-0.049210768,-0.043404529,-0.009197298,-0.030562759,0.115796414,0.487346873,0.015863298,0.351696761,0.28013896,0.38238153,0.306828423,0.014892547,0.036596833,0.106658666,0.290815638,0.282520487,0.071713689,0.027310855,-0.046256971,0.147937533,0.027766003,-0.001903979,0.901028027,3.228908414,-18.16002896,3.283895493,0.665596083,3.26007403,0.00029706,0.002050492,-0.002360246,18.0098992,12.478558
39,0.039444444,-0.0318,0.114882393,-0.034202504,0.077814529,0.167148061,-0.101480341,-0.085666013,-0.167634847,-0.022148122,0.003332378,-0.10086891,-0.007339966,0.205267168,0.297915197,0.32477439,0.324467087,0.279170557,-0.050137003,0.196733635,0.164643534,0.00514959,0.142350012,0.045216003,0.038954044,0.095884727,0.003714326,0.189472417,0.028168666,0.031967725,1.026150286,3.919375133,-23.00712808,3.981408358,0.743674403,3.94219964,0.000153938,0.001161456,-0.001249049,22.8218038,11.739873
