Id,ratio[0],ratio[1],ratio[2],ratio[3],ratio[4],ratio[5],ratio[6],ratio[7],ratio[8],ratio[9],ratio[10],ratio[11],ratio[12],ratio[13],ratio[14],ratio[15],ratio[16],ratio[17],ratio[18],ratio[19],ratio[20],ratio[21],ratio[22],ratio[23],ratio[24],ratio[25],ratio[26],ratio[27],ratio[28],ratio[29],ratio[30],ratio[31],ratio[32],ratio[33],ratio[34],ratio[35],ratio[36],ratio[37],cd,cl,cm,cy,Cx,Cy,Cz,Cmx,Cmy,Cmz,Volume
25,0.335833333,0.2412,0.146199045,0.017780756,-0.212569938,-0.00850142,-0.107987452,-0.064641537,-0.178550454,-0.172621011,-0.041844554,-0.107832609,0.464499805,-0.096338389,-0.061883418,0.052162515,0.120424403,0.047965649,-0.046504276,0.305844033,0.222948538,0.088732444,0.285644596,0.235523611,0.1683271,0.033443424,0.086066267,0.148697909,0.143006734,0.072305295,0.07587527,0.006668186,0.004918758,0.008784806,0.006240712,-0.043332133,-0.015241178,-0.038846308,0.995152367,3.590482911,-20.35507152,3.651154995,0.735406737,3.61502568,0.000115926,0.00281492,-0.000701719,20.1913483,11.273396
26,0.308333333,-0.0318,0.139154007,0.208821795,0.180005581,0.089650059,0.086893165,0.078878605,0.025970581,-0.123729483,-0.109616225,-0.101139642,-0.020373355,0.116996389,0.361173708,0.21812011,0.32057382,0.387332088,0.278152295,0.124802694,-0.042440231,-0.021052953,-0.017977138,-0.038282368,0.150936839,0.142293,0.074437381,0.087385845,0.031926987,0.047283025,-0.090000036,-0.059587009,-0.077813659,0.006893079,-0.03021316,-0.079784498,-0.048452626,0.001349636,0.760798521,3.342322963,-18.70297715,3.387251854,0.522730808,3.35919606,5.78E-05,0.001502281,4.60E-05,18.5461547,11.262725
27,0.024166667,0.1278,0.060978314,-0.050233384,-0.068060096,-0.065547314,-0.031099816,0.000151345,0.045905413,-0.051119734,-0.01468688,-0.035011484,0.394744056,0.176381694,-0.040401694,0.36203489,0.274359192,0.364466698,0.261821867,-0.069384233,0.15150849,0.214548471,-0.033668304,0.049701378,0.008955561,0.168102974,0.147361813,0.051161853,0.056376247,0.015311238,0.081171088,0.036997696,-0.083232597,-0.058752112,-0.04549232,-0.051805178,-0.044999443,-0.029004458,1.048236089,3.646116979,-21.08373861,3.710356474,0.783623672,3.67471736,0.00011602,0.001321333,-0.000741355,20.8852561,12.421537
28,-0.128611111,-0.099,0.086302697,-0.1454161,-0.248946206,0.02176906,0.140602147,0.02595986,-0.071346569,-0.038663949,0.020357342,-0.009738062,0.161535979,0.265236405,0.219586677,0.107163495,0.084205484,0.12928435,0.329544353,0.369711291,0.073278541,0.200432204,0.288146823,-0.03512103,0.092235002,-0.012230706,0.187744332,0.020584769,0.072711341,0.0807618,-0.050907102,0.055024306,-0.070178069,0.010969406,-0.110463669,-0.002628058,-0.011298265,-0.090946668,1.093746513,3.803924545,-21.56239137,3.870954275,0.821279343,3.84580473,-9.91E-05,0.001770343,0.000513293,21.4825814,13.703496
29,0.134166667,-0.057,0.198544323,0.25801012,0.179112845,0.157496634,-0.032652635,0.013619432,-0.009121338,-0.067384979,0.015924147,0.02056427,-0.00339793,0.496107706,0.273700109,0.085978662,0.340439114,-0.050336633,0.04781513,0.245768721,0.047450062,0.242920695,0.194776921,0.290845431,0.116595256,0.183040448,-0.041847142,0.095266121,0.00524129,0.002168658,-0.074328703,-0.036420208,-0.028949515,-0.161132733,-0.196449257,-0.051669462,-0.091566674,-0.051437388,0.852496351,3.555920837,-20.63427157,3.606725931,0.595172083,3.55571655,-0.000110806,0.002365735,0.000679013,20.3151553,11.487627
30,0.109722222,0.0774,0.071136387,0.287560968,0.044586547,0.115708569,-0.148600582,0.043797971,0.068159338,-0.169151821,-0.078601392,-0.010703204,0.455655425,-0.095516722,-0.010044568,-0.018374615,0.298021422,0.342170668,0.13658293,0.099773137,0.295353451,-0.010343766,0.162933751,0.195212364,0.112190716,-0.018538864,0.001310139,0.022665545,0.009003848,0.048861975,-0.009937188,0.02795654,-0.059903761,-0.150191241,-0.006510883,-0.023034797,-0.049120925,-0.068160881,0.977438762,3.381014423,-19.03093993,3.440961123,0.731490916,3.40947501,-5.89E-06,0.002077578,1.41E-05,18.8474598,11.270808
31,-0.061388889,0.237,0.065096575,-0.008810763,-0.10434552,0.137499173,0.008470589,0.102171981,-0.111693332,-0.122010926,-0.075678739,-0.035612615,0.183023359,0.186013816,0.276469521,0.178231233,0.214668817,0.000493951,0.331511949,0.290575032,0.207670614,0.078292312,0.04198757,0.218622779,0.070432331,0.170768639,0.085049828,0.004828471,0.13702296,0.078811216,0.087437907,-0.089690875,-0.078400002,-0.16280519,-0.064416273,-0.030446166,-0.002490537,-0.006086785,1.076837324,4.016948392,-24.20621945,4.082279682,0.786870156,4.01898087,-1.85E-05,0.002394906,0.00026494,23.8062101,12.816484
32,-0.052222222,0.2916,-0.036407441,-0.244442417,-0.197565731,-0.063966821,-0.085256483,0.001349639,0.010151474,-0.168803468,-0.097606858,0.011492488,0.30240601,0.400535756,0.33912105,-0.037468967,-0.035639937,0.179271933,-0.045060458,-0.079058648,0.080812884,0.199918107,0.103630853,0.167932643,0.196556115,0.016130029,0.124014289,-0.038402544,0.106231989,-0.005104895,-0.057971744,-0.044787089,0.033605385,-0.003178673,-0.055767543,-0.117707147,-0.085125574,-0.02802407,1.263649731,4.472457684,-26.72109421,4.549710751,0.939876242,4.47769731,-3.09E-05,0.001633387,0.000488754,26.2739269,12.108979
33,0.390833333,0.1068,0.178788197,-0.219630407,-0.014153109,-0.060585151,0.055602625,-0.101200645,-0.100870666,0.021129949,-0.049607703,-0.031827789,0.275827133,0.372210741,0.058369404,0.352165891,0.085236763,-0.03488132,0.056792615,0.196381509,0.223744794,0.135373632,0.075665321,0.135566561,0.140785016,-0.002733348,0.155143789,0.028710179,-0.025625975,0.0226075,-0.019188023,-0.068182678,0.042735275,-0.023404745,-0.052771302,-0.041988433,-0.080344227,-0.02334395,0.912716536,3.774350045,-21.78331524,3.828823805,0.64287103,3.79194517,7.32E-05,0.000694801,-0.000293281,21.6027336,11.805664
34,-0.107222222,0.216,0.001813275,0.13650268,-0.170920378,-0.174277094,-0.130212417,0.084031766,0.033274385,-0.085689756,-0.051732806,-0.023503966,0.301401894,0.405620164,0.047794104,0.06058353,0.260453495,-0.032060077,0.284421691,0.303173627,0.014737416,0.027747132,-0.018980014,0.276965665,0.129299479,0.081130404,0.048561805,0.056432228,0.083112519,0.054089578,-0.01628668,-0.030334659,-0.174962865,-0.108532157,-0.08936532,-0.047576291,-0.095059815,0.005762804,1.028583301,3.943888761,-22.92874114,4.00603199,0.743216771,3.93804217,-1.76E-05,0.000277976,0.000614069,22.5099687,12.975779
35,0.3725,0.2916,0.039330986,0.103859787,0.101339939,-0.194584442,-0.116862284,-0.032619913,-0.06071358,-0.099029424,-0.014887205,-0.004173432,-0.067731786,0.370677929,0.330203126,0.393044414,-0.023462519,0.335422049,0.121091235,-0.006007032,0.007352778,-0.003608478,0.289223607,0.097535179,0.159312059,0.195784488,-0.007809216,0.030836434,0.04879495,0.006119986,0.017150675,-0.052356881,-0.037105472,-0.175680413,-0.09067003,-0.034849426,-0.076664579,-0.016911589,0.887189366,3.495362468,-19.79657383,3.548735142,0.634689648,3.5059605,4.07E-05,0.001007621,-0.000189264,19.5117698,11.603915
36,0.051666667,0.2244,0.01779296,-0.078243572,0.177038625,-0.142388692,0.109602921,0.069483347,0.019619613,-0.15796084,-0.098206137,-0.106940304,0.413458089,0.013796878,0.22968047,0.388289616,0.334947565,0.16174376,0.165263831,0.363970242,-0.003302247,0.168815396,0.239269227,0.21352752,0.122652489,0.133750563,0.034192687,0.066298742,0.030294149,0.037057499,-0.023875251,-0.025054778,-0.15590394,-0.089739488,-0.070653244,0.007727067,-0.066619373,-0.086266732,1.059519946,3.788311103,-22.32168101,3.852991343,0.784299229,3.79713896,-9.98E-06,0.000629199,-6.67E-05,21.9693636,13.026685
37,0.036388889,-0.0444,-0.076152749,0.190777639,-0.183157471,-0.02303519,0.103381138,-0.079516242,-0.037099104,-0.127487614,-0.018110629,-0.059745626,-0.096603807,-0.052338374,0.002743399,0.255493082,0.252957105,0.36019014,0.38560672,-0.003849894,0.294844237,0.045811408,0.234201389,0.104771314,0.07300634,0.057934712,-0.028036457,0.121298284,0.017925012,0.093793638,0.041958071,-0.086572294,0.017568728,-0.027432073,-0.121579949,-0.048020626,-0.09298219,-0.029497399,0.908800647,3.473352163,-19.16098008,3.52828598,0.659675513,3.51798505,1.77E-05,0.001856114,-4.06E-05,19.1439173,12.441128
38,0.222777778,-0.0108,0.128528149,0.25686433,0.085293878,-0.029215568,0.138672686,-0.088334046,-0.140109928,-0.061236643,-0.148351041,-0.011647784,0.234530286,0.126636774,0.045217857,0.059142631,0.175180776,0.307685358,0.391976256,0.081841258,0.117969504,0.021424487,0.043041547,0.227550927,0.176970737,0.059980346,0.048769293,0.119626936,0.001686454,0.033363798,0.015584191,0.017057772,-0.09875062,-0.106539865,-0.041892859,-0.11679199,-0.007242555,-0.097064846,0.790509947,3.195650826,-17.33074875,3.243009567,0.561282497,3.23386107,5.05E-06,0.001929662,-0.00013051,17.3118494,11.957126
39,0.2075,-0.0696,-0.057314165,-0.149370062,-0.210837313,0.006617686,0.132144601,0.065714005,-0.030264558,-0.032931427,-0.083099256,-0.132620246,0.265619543,0.497148967,0.382037028,0.123384677,0.262384796,0.01712499,0.181147161,0.20311272,0.077507587,0.137301229,0.062811729,0.229562043,-0.015870166,0.153164313,-0.03669588,-0.00480954,0.00073067,-0.009267044,-0.008321669,-0.001801375,-0.03804198,-0.172964602,-0.005888893,-0.001252914,0.00772247,-0.086401422,0.931547519,3.775036081,-21.46160985,3.830821753,0.661943902,3.80272208,-5.03E-05,0.001152449,0.000311657,21.3289717,13.309964
